platekey,population,plate,well
1,1.1,1,B10
1,1.1,3,B10
1,1.1,5,B10
1,1.1,1,D04
1,1.1,3,D04
1,1.1,5,D04
1,1.2,1,E05
1,1.2,3,E05
1,1.2,5,E05
1,1.2,1,G02
1,1.2,3,G02
1,1.2,5,G02
1,1.3,1,B05
1,1.3,3,B05
1,1.3,5,B05
1,1.3,1,D09
1,1.3,3,D09
1,1.3,5,D09
1,1.4,1,D03
1,1.4,3,D03
1,1.4,5,D03
1,1.4,1,F07
1,1.4,3,F07
1,1.4,5,F07
1,1.5,1,G04
1,1.5,3,G04
1,1.5,5,G04
1,1.5,1,B07
1,1.5,3,B07
1,1.5,5,B07
1,1.6,1,D02
1,1.6,3,D02
1,1.6,5,D02
1,1.6,1,E08
1,1.6,3,E08
1,1.6,5,E08
1,1.7,1,B09
1,1.7,3,B09
1,1.7,5,B09
1,1.7,1,G03
1,1.7,3,G03
1,1.7,5,G03
1,1.8,1,B02
1,1.8,3,B02
1,1.8,5,B02
1,1.8,1,F02
1,1.8,3,F02
1,1.8,5,F02
1,2.1,1,C05
1,2.1,3,C05
1,2.1,5,C05
1,2.1,1,D10
1,2.1,3,D10
1,2.1,5,D10
1,2.2,1,D07
1,2.2,3,D07
1,2.2,5,D07
1,2.2,1,F09
1,2.2,3,F09
1,2.2,5,F09
1,2.3,1,C02
1,2.3,3,C02
1,2.3,5,C02
1,2.3,1,C08
1,2.3,3,C08
1,2.3,5,C08
1,2.4,1,C09
1,2.4,3,C09
1,2.4,5,C09
1,2.4,1,F04
1,2.4,3,F04
1,2.4,5,F04
1,2.5,1,E02
1,2.5,3,E02
1,2.5,5,E02
1,2.5,1,E09
1,2.5,3,E09
1,2.5,5,E09
1,2.6,1,B04
1,2.6,3,B04
1,2.6,5,B04
1,2.6,1,F06
1,2.6,3,F06
1,2.6,5,F06
1,2.7,1,B06
1,2.7,3,B06
1,2.7,5,B06
1,2.7,1,E07
1,2.7,3,E07
1,2.7,5,E07
1,2.8,1,B08
1,2.8,3,B08
1,2.8,5,B08
1,2.8,1,D06
1,2.8,3,D06
1,2.8,5,D06
1,3.1,1,C03
1,3.1,3,C03
1,3.1,5,C03
1,3.1,1,F10
1,3.1,3,F10
1,3.1,5,F10
1,3.2,1,F03
1,3.2,3,F03
1,3.2,5,F03
1,3.2,1,C07
1,3.2,3,C07
1,3.2,5,C07
1,3.3,1,D05
1,3.3,3,D05
1,3.3,5,D05
1,3.3,1,E10
1,3.3,3,E10
1,3.3,5,E10
1,3.4,1,C10
1,3.4,3,C10
1,3.4,5,C10
1,3.4,1,E04
1,3.4,3,E04
1,3.4,5,E04
1,3.5,1,D08
1,3.5,3,D08
1,3.5,5,D08
1,3.5,1,F05
1,3.5,3,F05
1,3.5,5,F05
1,3.6,1,B03
1,3.6,3,B03
1,3.6,5,B03
1,3.6,1,E06
1,3.6,3,E06
1,3.6,5,E06
1,3.7,1,C06
1,3.7,3,C06
1,3.7,5,C06
1,3.7,1,E03
1,3.7,3,E03
1,3.7,5,E03
1,3.8,1,C04
1,3.8,3,C04
1,3.8,5,C04
1,3.8,1,F08
1,3.8,3,F08
1,3.8,5,F08
2,1.1,2,C04
2,1.1,4,C04
2,1.1,6,C04
2,1.1,2,F09
2,1.1,4,F09
2,1.1,6,F09
2,1.2,2,B02
2,1.2,4,B02
2,1.2,6,B02
2,1.2,2,E08
2,1.2,4,E08
2,1.2,6,E08
2,1.3,2,C10
2,1.3,4,C10
2,1.3,6,C10
2,1.3,2,D06
2,1.3,4,D06
2,1.3,6,D06
2,1.4,2,D05
2,1.4,4,D05
2,1.4,6,D05
2,1.4,2,B07
2,1.4,4,B07
2,1.4,6,B07
2,1.5,2,B03
2,1.5,4,B03
2,1.5,6,B03
2,1.5,2,E06
2,1.5,4,E06
2,1.5,6,E06
2,1.6,2,D10
2,1.6,4,D10
2,1.6,6,D10
2,1.6,2,F06
2,1.6,4,F06
2,1.6,6,F06
2,1.7,2,E04
2,1.7,4,E04
2,1.7,6,E04
2,1.7,2,B06
2,1.7,4,B06
2,1.7,6,B06
2,1.8,2,C08
2,1.8,4,C08
2,1.8,6,C08
2,1.8,2,F08
2,1.8,4,F08
2,1.8,6,F08
2,2.1,2,C05
2,2.1,4,C05
2,2.1,6,C05
2,2.1,2,F02
2,2.1,4,F02
2,2.1,6,F02
2,2.2,2,D04
2,2.2,4,D04
2,2.2,6,D04
2,2.2,2,C07
2,2.2,4,C07
2,2.2,6,C07
2,2.3,2,D07
2,2.3,4,D07
2,2.3,6,D07
2,2.3,2,G03
2,2.3,4,G03
2,2.3,6,G03
2,2.4,2,F04
2,2.4,4,F04
2,2.4,6,F04
2,2.4,2,E09
2,2.4,4,E09
2,2.4,6,E09
2,2.5,2,C03
2,2.5,4,C03
2,2.5,6,C03
2,2.5,2,E10
2,2.5,4,E10
2,2.5,6,E10
2,2.6,2,B09
2,2.6,4,B09
2,2.6,6,B09
2,2.6,2,F10
2,2.6,4,F10
2,2.6,6,F10
2,2.7,2,E03
2,2.7,4,E03
2,2.7,6,E03
2,2.7,2,B08
2,2.7,4,B08
2,2.7,6,B08
2,2.8,2,B04
2,2.8,4,B04
2,2.8,6,B04
2,2.8,2,D09
2,2.8,4,D09
2,2.8,6,D09
2,3.1,2,D02
2,3.1,4,D02
2,3.1,6,D02
2,3.1,2,E07
2,3.1,4,E07
2,3.1,6,E07
2,3.2,2,F03
2,3.2,4,F03
2,3.2,6,F03
2,3.2,2,F07
2,3.2,4,F07
2,3.2,6,F07
2,3.3,2,F05
2,3.3,4,F05
2,3.3,6,F05
2,3.3,2,C09
2,3.3,4,C09
2,3.3,6,C09
2,3.4,2,B05
2,3.4,4,B05
2,3.4,6,B05
2,3.4,2,G02
2,3.4,4,G02
2,3.4,6,G02
2,3.5,2,C06
2,3.5,4,C06
2,3.5,6,C06
2,3.5,2,B10
2,3.5,4,B10
2,3.5,6,B10
2,3.6,2,D03
2,3.6,4,D03
2,3.6,6,D03
2,3.6,2,E05
2,3.6,4,E05
2,3.6,6,E05
2,3.7,2,C02
2,3.7,4,C02
2,3.7,6,C02
2,3.7,2,D08
2,3.7,4,D08
2,3.7,6,D08
2,3.8,2,E02
2,3.8,4,E02
2,3.8,6,E02
2,3.8,2,G04
2,3.8,4,G04
2,3.8,6,G04
